ts_ms,roll_deg,pitch_deg,yaw_deg,wx_dps,wy_dps,wz_dps,ax_g,ay_g,az_g
14179,-0.25,-1.34,0.16,0.06,0,0,0.024,-0.003,0.993
14249,-0.24,-1.34,0.16,0,0,0,0.024,-0.003,0.994
14319,-0.24,-1.34,0.16,0,0,-0.06,0.023,-0.005,0.993
14389,-0.24,-1.34,0.16,0,0,0,0.023,-0.004,0.994
14450,-0.24,-1.34,0.16,0.06,0,0,0.022,-0.004,0.994
14530,-0.24,-1.34,0.16,0,0,0,0.023,-0.004,0.994
14581,-0.24,-1.34,0.16,0.06,0,0,0.023,-0.004,0.993
14670,-0.24,-1.34,0.16,0,0,-0.06,0.024,-0.004,0.994
14740,-0.24,-1.34,0.16,0,0,0,0.023,-0.004,0.994
14801,-0.24,-1.34,0.16,0,0.06,0,0.024,-0.005,0.994
14861,-0.25,-1.34,0.16,-0.18,-0.18,0,0.023,-0.003,0.994
14931,-0.24,-1.34,0.16,0.18,0.06,0,0.024,-0.004,0.993
14980,-0.24,-1.34,0.16,0,0,0,0.024,-0.004,0.994
15051,-0.24,-1.36,0.16,0.06,0.06,0.06,0.023,-0.004,0.993
15111,-0.24,-1.36,0.16,0,-0.06,0,0.024,-0.004,0.993
15183,-0.24,-1.37,0.16,0,-0.12,0,0.023,-0.004,0.994
15231,-0.24,-1.37,0.16,0.06,-0.06,0,0.023,-0.004,0.993
15302,-0.24,-1.37,0.16,0,-0.06,0,0.023,-0.005,0.994
15362,-0.24,-1.37,0.16,0,0,-0.06,0.023,-0.005,0.994
15422,-0.24,-1.37,0.16,0.06,0,0,0.023,-0.004,0.994
15502,-0.24,-1.37,0.16,0,0,0,0.024,-0.004,0.994
15562,-0.24,-1.37,0.16,0,0,0,0.023,-0.004,0.993
15622,-0.25,-1.37,0.16,0,0,0,0.023,-0.005,0.994
15692,-0.25,-1.37,0.16,0,0,0,0.023,-0.004,0.993
15742,-0.25,-1.37,0.16,0.06,0,0,0.023,-0.005,0.994
15812,-0.25,-1.37,0.16,0,0,0,0.023,-0.005,0.994
15873,-0.24,-1.36,0.16,0.06,0,0,0.023,-0.004,0.993
15932,-0.24,-1.36,0.16,0,0,0,0.023,-0.005,0.994
16003,-0.24,-1.36,0.16,0,0,0,0.023,-0.005,0.994
16064,-0.24,-1.36,0.16,0.06,0.06,-0.06,0.023,-0.005,0.994
16123,-0.24,-1.35,0.16,0.06,0,0,0.023,-0.004,0.994
16194,-0.24,-1.35,0.16,0.06,0.06,-0.06,0.023,-0.004,0.993
16265,-0.24,-1.35,0.16,0,0.06,0,0.023,-0.004,0.993
16323,-0.24,-1.35,0.16,0,0,0,0.023,-0.005,0.993
16394,-0.24,-1.35,0.16,0,0,0,0.023,-0.005,0.993
16464,-0.24,-1.35,0.16,0,0,0,0.024,-0.004,0.993
