[2018-01-01 00:27:26] --- BALL preview start ---
[2018-01-01 00:27:28] K230 BALL preview started: cv_lite circle detection
[2018-01-01 00:27:29] ball: center_px=160 center_px_avg=159.6828 reference_px=160 x_mm=0.00 valid=1 fps=41.7
[2018-01-01 00:27:29] ball: center_px=158 center_px_avg=159.3277 reference_px=160 x_mm=-1.00 valid=1 fps=42.6
[2018-01-01 00:27:30] ball: center_px=162 center_px_avg=160.3752 reference_px=160 x_mm=1.00 valid=1 fps=44.8
[2018-01-01 00:27:31] ball: center_px=None center_px_avg=159.4857 reference_px=160 x_mm=-1.00 valid=1 fps=48.2
[2018-01-01 00:27:31] ball: center_px=160 center_px_avg=159.6608 reference_px=160 x_mm=0.00 valid=1 fps=49.5
[2018-01-01 00:27:32] ball: center_px=160 center_px_avg=159.9992 reference_px=160 x_mm=0.00 valid=1 fps=52.2
[2018-01-01 00:27:33] ball: center_px=160 center_px_avg=159.6849 reference_px=160 x_mm=0.00 valid=1 fps=49.3
[2018-01-01 00:27:33] ball: center_px=162 center_px_avg=161.0566 reference_px=160 x_mm=1.00 valid=1 fps=49.4
[2018-01-01 00:27:34] ball: center_px=160 center_px_avg=160.0282 reference_px=160 x_mm=0.00 valid=1 fps=50.8
[2018-01-01 00:27:35] ball: center_px=160 center_px_avg=160.1626 reference_px=160 x_mm=0.00 valid=1 fps=49.8
[2018-01-01 00:27:35] ball: center_px=158 center_px_avg=159.6796 reference_px=160 x_mm=-1.00 valid=1 fps=50.5
[2018-01-01 00:27:36] ball: center_px=160 center_px_avg=160.396 reference_px=160 x_mm=0.00 valid=1 fps=48.2
[2018-01-01 00:27:37] ball: center_px=158 center_px_avg=159.5571 reference_px=160 x_mm=-1.00 valid=1 fps=49.2
[2018-01-01 00:27:37] ball: center_px=160 center_px_avg=159.3562 reference_px=160 x_mm=0.00 valid=1 fps=48.4
[2018-01-01 00:27:38] ball: center_px=158 center_px_avg=160.405 reference_px=160 x_mm=-1.00 valid=1 fps=48.4
[2018-01-01 00:27:39] ball: center_px=160 center_px_avg=160.1351 reference_px=160 x_mm=0.00 valid=1 fps=48.3
[2018-01-01 00:27:39] ball: center_px=158 center_px_avg=159.6901 reference_px=160 x_mm=-1.00 valid=1 fps=48.0
[2018-01-01 00:27:40] ball: center_px=160 center_px_avg=160.616 reference_px=160 x_mm=0.00 valid=1 fps=46.0
[2018-01-01 00:27:41] ball: center_px=162 center_px_avg=160.5305 reference_px=160 x_mm=1.00 valid=1 fps=46.8
[2018-01-01 00:27:41] ball: center_px=162 center_px_avg=160.275 reference_px=160 x_mm=1.00 valid=1 fps=46.9
[2018-01-01 00:27:42] ball: center_px=162 center_px_avg=160.1688 reference_px=160 x_mm=1.00 valid=1 fps=46.7
[2018-01-01 00:27:43] ball: center_px=162 center_px_avg=160.5657 reference_px=160 x_mm=1.00 valid=1 fps=47.1
[2018-01-01 00:27:43] ball: center_px=158 center_px_avg=159.4754 reference_px=160 x_mm=-1.00 valid=1 fps=47.6
[2018-01-01 00:27:44] ball: center_px=162 center_px_avg=161.1928 reference_px=160 x_mm=1.00 valid=1 fps=47.9
[2018-01-01 00:27:45] ball: center_px=160 center_px_avg=159.6793 reference_px=160 x_mm=0.00 valid=1 fps=47.7
[2018-01-01 00:27:45] ball: center_px=160 center_px_avg=160.4202 reference_px=160 x_mm=0.00 valid=1 fps=48.1
[2018-01-01 00:27:46] ball: center_px=160 center_px_avg=160.7749 reference_px=160 x_mm=0.00 valid=1 fps=47.7
